id,title,question,context,predict,relabel,answer_start
1,Bài 1: Lịch sử và cuộc sống,Lịch Sử được hiểu là tất cả những gì,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ,,166
2,Bài 1: Lịch sử và cuộc sống,Phân môn Lịch Sử mà chúng ta được học là môn học tìm hiểu về,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay,,380
3,Bài 1: Lịch sử và cuộc sống,Phân môn Lịch Sử mà chúng ta được học là môn học tìm hiểu về điều gì?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay,,380
4,Bài 1: Lịch sử và cuộc sống,Tìm hiểu và dựng lại toàn bộ hoạt động của con người và xã hội loài người trong quá khứ là nhiệm vụ của ngành khoa học nào?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",Lịch sử,,155
5,Bài 1: Lịch sử và cuộc sống,Ai là chủ thể sáng tạo ra lịch sử?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
6,Bài 1: Lịch sử và cuộc sống,Chủ thể sáng tạo ra lịch sử là,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
7,Bài 1: Lịch sử và cuộc sống,phạm vi nghiên cứu của lịch sử?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
8,Bài 1: Lịch sử và cuộc sống,Khái niệm lịch sử được hiểu như thế nào?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
9,Bài 1: Lịch sử và cuộc sống,Lịch sử là gì?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
10,Bài 1: Lịch sử và cuộc sống,Quá trình nghiên cứu và phục dựng lại quá khứ được gọi là gì,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",Lịch sử,,155
11,Bài 1: Lịch sử và cuộc sống,Lịch sử giúp chúng ta hiểu biết những gì?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
12,Bài 1: Lịch sử và cuộc sống,cho mình biết Ý nghĩa của việc học lịch sử là gì?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
13,Bài 1: Lịch sử và cuộc sống,Hãy nêu khái niệm về Lịch sử?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
